ConflictId,Location,Lat,Lng,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
1/1/2015,Bolivia,-16.290154,-63.588653,Government of Bolivia,,Popular Revolutionary Movement,1580,,2,,1946,2,1,3,6/30/1946,4,6/30/1946,4,1,7/21/1946,1,145,,,,145,5,4/1/2014
1/1/2015,Bolivia,-16.290154,-63.588653,Government of Bolivia,,MNR,1581,,2,,1952,1,1,3,6/30/1946,4,4/9/1952,1,1,4/12/1952,1,145,,,,145,5,4/1/2014
1/1/2015,Bolivia,-16.290154,-63.588653,Government of Bolivia,,ELN,1582,,2,,1967,1,1,3,6/30/1946,4,3/31/1967,3,1,10/16/1967,1,145,,,,145,5,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1946,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1947,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1948,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1949,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1950,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1951,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1952,1,0,1,8/31/1946,3,8/31/1946,3,0,,,220,,,,811,3,4/1/2014
1/2/2015,Cambodia (Kampuchea),11.2051777,104.1002654,Government of France,,Khmer Issarak,1001,,1,Cambodia,1953,1,0,1,8/31/1946,3,8/31/1946,3,1,11/9/1953,1,220,,,,811,3,4/1/2014
1/3/2015,China,35.86166,104.195397,Government of China,,PLA,1002,,2,,1946,2,1,3,12/31/1946,7,12/31/1946,7,0,,,710,,,,710,3,4/1/2014
1/3/2015,China,35.86166,104.195397,Government of China,,PLA,1002,,2,,1947,2,1,3,12/31/1946,7,12/31/1946,7,0,,,710,,,,710,3,4/1/2014
1/3/2015,China,35.86166,104.195397,Government of China,,PLA,1002,,2,,1948,2,1,3,12/31/1946,7,12/31/1946,7,0,,,710,,,,710,3,4/1/2014
1/3/2015,China,35.86166,104.195397,Government of China,,PLA,1002,,2,,1949,2,1,3,12/31/1946,7,12/31/1946,7,1,12/8/1949,1,710,,,,710,3,4/1/2014
1/4/2015,Greece,39.074208,21.824312,Government of Greece,,DSE,1003,,2,,1946,2,1,3,3/31/1946,4,3/31/1946,4,0,,,350,,,,350,1,4/1/2014
1/4/2015,Greece,39.074208,21.824312,Government of Greece,,DSE,1003,,2,,1947,2,1,3,3/31/1946,4,3/31/1946,4,0,,,350,,,,350,1,4/1/2014
1/4/2015,Greece,39.074208,21.824312,Government of Greece,,DSE,1003,,2,,1948,2,1,3,3/31/1946,4,3/31/1946,4,0,,,350,,,,350,1,4/1/2014
1/4/2015,Greece,39.074208,21.824312,Government of Greece,,DSE,1003,,2,,1949,2,1,3,3/31/1946,4,3/31/1946,4,1,10/16/1949,1,350,,,,350,1,4/1/2014
1/5/2015,Indonesia,-0.789275,113.921327,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1946,1,0,1,10/13/1945,2,12/31/1946,5,0,,,210,,,,850,3,4/1/2014
1/5/2015,Indonesia,-0.789275,113.921327,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1947,1,0,1,10/13/1945,2,12/31/1946,5,0,,,210,,,,850,3,4/1/2014
1/5/2015,Indonesia,-0.789275,113.921327,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1948,1,0,1,10/13/1945,2,12/31/1946,5,0,,,210,,,,850,3,4/1/2014
